web-scraper-order,web-scraper-start-url,name_product,discount_product,price_product
"1703601126-1","https://www.amazon.com/deal/86d87894/?_encoding=UTF8&pd_rd_i=B09V7TTTFP&pd_rd_w=A20hk&content-id=amzn1.sym.247f868f-3720-422e-9fff-e8f65c45c6fe&pf_rd_p=247f868f-3720-422e-9fff-e8f65c45c6fe&pf_rd_r=ERVFPZPFWNVYY3Q57WBJ&pd_rd_wg=6N6L1&pd_rd_r=0393f4a8-2dc2-4cdf-8d60-ca1030d8bbdc&pageNum=1&sortOption=relevanceblender","Women's Fleece Jogger Sweatpant (Available in Plus Size)","-20%","$24.90"
"1703601126-2","https://www.amazon.com/deal/86d87894/?_encoding=UTF8&pd_rd_i=B09V7TTTFP&pd_rd_w=A20hk&content-id=amzn1.sym.247f868f-3720-422e-9fff-e8f65c45c6fe&pf_rd_p=247f868f-3720-422e-9fff-e8f65c45c6fe&pf_rd_r=ERVFPZPFWNVYY3Q57WBJ&pd_rd_wg=6N6L1&pd_rd_r=0393f4a8-2dc2-4cdf-8d60-ca1030d8bbdc&pageNum=1&sortOption=relevanceblender","Women's Lightweight Water-Resistant Hooded Puffer Coat (Available in Plus Size)","-20%","$64.90"
"1703601126-3","https://www.amazon.com/deal/86d87894/?_encoding=UTF8&pd_rd_i=B09V7TTTFP&pd_rd_w=A20hk&content-id=amzn1.sym.247f868f-3720-422e-9fff-e8f65c45c6fe&pf_rd_p=247f868f-3720-422e-9fff-e8f65c45c6fe&pf_rd_r=ERVFPZPFWNVYY3Q57WBJ&pd_rd_wg=6N6L1&pd_rd_r=0393f4a8-2dc2-4cdf-8d60-ca1030d8bbdc&pageNum=1&sortOption=relevanceblender","Women's Classic-Fit Lightweight Long-Sleeve Turtleneck Sweater (Available in Plus Size)","-30%","$29.90"
"1703601126-4","https://www.amazon.com/deal/86d87894/?_encoding=UTF8&pd_rd_i=B09V7TTTFP&pd_rd_w=A20hk&content-id=amzn1.sym.247f868f-3720-422e-9fff-e8f65c45c6fe&pf_rd_p=247f868f-3720-422e-9fff-e8f65c45c6fe&pf_rd_r=ERVFPZPFWNVYY3Q57WBJ&pd_rd_wg=6N6L1&pd_rd_r=0393f4a8-2dc2-4cdf-8d60-ca1030d8bbdc&pageNum=1&sortOption=relevanceblender","Women's Classic-Fit Lightweight Long-Sleeve V-Neck Sweater (Available in Plus Size)","-20%","$24.90"
"1703601126-5","https://www.amazon.com/deal/86d87894/?_encoding=UTF8&pd_rd_i=B09V7TTTFP&pd_rd_w=A20hk&content-id=amzn1.sym.247f868f-3720-422e-9fff-e8f65c45c6fe&pf_rd_p=247f868f-3720-422e-9fff-e8f65c45c6fe&pf_rd_r=ERVFPZPFWNVYY3Q57WBJ&pd_rd_wg=6N6L1&pd_rd_r=0393f4a8-2dc2-4cdf-8d60-ca1030d8bbdc&pageNum=1&sortOption=relevanceblender","Women's Classic-Fit Full-Zip Polar Soft Fleece Jacket (Available in Plus Size)","-25%","$23.92"
"1703601126-6","https://www.amazon.com/deal/86d87894/?_encoding=UTF8&pd_rd_i=B09V7TTTFP&pd_rd_w=A20hk&content-id=amzn1.sym.247f868f-3720-422e-9fff-e8f65c45c6fe&pf_rd_p=247f868f-3720-422e-9fff-e8f65c45c6fe&pf_rd_r=ERVFPZPFWNVYY3Q57WBJ&pd_rd_wg=6N6L1&pd_rd_r=0393f4a8-2dc2-4cdf-8d60-ca1030d8bbdc&pageNum=1&sortOption=relevanceblender","Women's Jersey Standard-Fit Short-Sleeve V-Neck T-Shirt (Previously Daily Ritual)","-40%","$14.90"
"1703601126-7","https://www.amazon.com/deal/86d87894/?_encoding=UTF8&pd_rd_i=B09V7TTTFP&pd_rd_w=A20hk&content-id=amzn1.sym.247f868f-3720-422e-9fff-e8f65c45c6fe&pf_rd_p=247f868f-3720-422e-9fff-e8f65c45c6fe&pf_rd_r=ERVFPZPFWNVYY3Q57WBJ&pd_rd_wg=6N6L1&pd_rd_r=0393f4a8-2dc2-4cdf-8d60-ca1030d8bbdc&pageNum=1&sortOption=relevanceblender","Women's Fleece Pullover Hoodie (Available in Plus Size)","-16%","$28.50"
"1703601126-8","https://www.amazon.com/deal/86d87894/?_encoding=UTF8&pd_rd_i=B09V7TTTFP&pd_rd_w=A20hk&content-id=amzn1.sym.247f868f-3720-422e-9fff-e8f65c45c6fe&pf_rd_p=247f868f-3720-422e-9fff-e8f65c45c6fe&pf_rd_r=ERVFPZPFWNVYY3Q57WBJ&pd_rd_wg=6N6L1&pd_rd_r=0393f4a8-2dc2-4cdf-8d60-ca1030d8bbdc&pageNum=1&sortOption=relevanceblender","Women's Lightweight Mockneck Sweater (Available in Plus Size)","-20%","$24.90"
"1703601126-9","https://www.amazon.com/deal/86d87894/?_encoding=UTF8&pd_rd_i=B09V7TTTFP&pd_rd_w=A20hk&content-id=amzn1.sym.247f868f-3720-422e-9fff-e8f65c45c6fe&pf_rd_p=247f868f-3720-422e-9fff-e8f65c45c6fe&pf_rd_r=ERVFPZPFWNVYY3Q57WBJ&pd_rd_wg=6N6L1&pd_rd_r=0393f4a8-2dc2-4cdf-8d60-ca1030d8bbdc&pageNum=1&sortOption=relevanceblender","Women's Jersey Relaxed-Fit Muscle-Sleeve Swing Tunic (Previously Daily Ritual)","-40%","$14.90"
"1703601126-10","https://www.amazon.com/deal/86d87894/?_encoding=UTF8&pd_rd_i=B09V7TTTFP&pd_rd_w=A20hk&content-id=amzn1.sym.247f868f-3720-422e-9fff-e8f65c45c6fe&pf_rd_p=247f868f-3720-422e-9fff-e8f65c45c6fe&pf_rd_r=ERVFPZPFWNVYY3Q57WBJ&pd_rd_wg=6N6L1&pd_rd_r=0393f4a8-2dc2-4cdf-8d60-ca1030d8bbdc&pageNum=1&sortOption=relevanceblender","Women's Classic-Fit Long-Sleeve Lightweight Plaid Flannel Shirt","-20%","$29.90"
